"URBAN REDEVELOPMENT AUTHORITY - PRIVATE COMMERCIAL TRANSACTIONS WITH CAVEATS LODGED"

"S/N","Project Name","Street Name","Type","Postal District","Tenure","Price ($)","Area (Sqft)","Floor Level","Unit Price ($psf)","Date of Option Exercised / Sales Agreement Signed"
"1","SLF BUILDING","THOMSON ROAD","Office (Strata)","11","99 yrs lease commencing from 1979","1385000","1539","06 to 10","900","Jan-2022"
"2","PAYA LEBAR SQUARE","PAYA LEBAR ROAD","Office (Strata)","14","99 yrs lease commencing from 2011","1088888","506","11 to 15","2152","Jan-2022"
"3","EASTGATE","EAST COAST ROAD","Office (Strata)","15","Freehold","1750000","1163","06 to 10","1505","Jan-2022"
"4","GRANDLINK SQUARE","GUILLEMARD ROAD","Office (Strata)","14","Freehold","580000","205","01 to 05","2836","Jan-2022"
"5","PAYA LEBAR SQUARE","PAYA LEBAR ROAD","Office (Strata)","14","99 yrs lease commencing from 2011","933000","484","01 to 05","1926","Jan-2022"
"6","KATONG SHOPPING CENTRE","MOUNTBATTEN ROAD","Office (Strata)","15","Freehold","550000","172","B1 to B5","3194","Dec-2021"
"7","SOHO LIFE","JOO CHIAT ROAD","Office (Strata)","15","Freehold","563000","344","01 to 05","1634","Dec-2021"
"8","CT HUB 2","LAVENDER STREET","Office (Strata)","12","63 yrs lease commencing from 2012","1102400","689","06 to 10","1600","Dec-2021"
"9","SOHO LIFE","JOO CHIAT ROAD","Office (Strata)","15","Freehold","680000","463","01 to 05","1469","Dec-2021"
"10","PAYA LEBAR SQUARE","PAYA LEBAR ROAD","Office (Strata)","14","99 yrs lease commencing from 2011","925000","484","01 to 05","1910","Dec-2021"
"11","CT HUB 2","LAVENDER STREET","Office (Strata)","12","63 yrs lease commencing from 2012","1051200","657","06 to 10","1601","Dec-2021"
"12","GRANDLINK SQUARE","GUILLEMARD ROAD","Office (Strata)","14","Freehold","903888","484","01 to 05","1866","Dec-2021"
"13","PAYA LEBAR SQUARE","PAYA LEBAR ROAD","Office (Strata)","14","99 yrs lease commencing from 2011","1038000","506","01 to 05","2052","Dec-2021"
