"URBAN REDEVELOPMENT AUTHORITY - PRIVATE COMMERCIAL TRANSACTIONS WITH CAVEATS LODGED"

"S/N","Project Name","Street Name","Type","Postal District","Tenure","Price ($)","Area (Sqft)","Floor Level","Unit Price ($psf)","Date of Option Exercised / Sales Agreement Signed"
"1","KAP","KING ALBERT PARK","Retail (Strata)","21","Freehold","1100000","280","01 to 05","3930","Feb-2022"
"2","SUITES AT BUKIT TIMAH","JALAN JURONG KECHIL","Retail (Strata)","21","Freehold","515000","97","01 to 05","5316","Jan-2022"
"3","JCUBE","JURONG EAST CENTRAL 1","Retail (non-strata)","22","99 yrs lease commencing from 1991","340000000","83649","-","4065","Jan-2022"
"4","BEAUTY WORLD PLAZA","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","999 yrs lease commencing from 1884","950000","280","01 to 05","3395","Dec-2021"
"5","BUKIT TIMAH PLAZA","JALAN ANAK BUKIT","Retail (Strata)","21","99 yrs lease commencing from 1976","1250000","517","01 to 05","2419","Dec-2021"
"6","BEAUTY WORLD PLAZA","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","999 yrs lease commencing from 1884","1150000","344","01 to 05","3339","Oct-2021"
"7","JK BUILDING","JALAN JURONG KECHIL","Retail (Strata)","21","Freehold","3500000","1464","-","2391","Sep-2021"
"8","SUITES AT BUKIT TIMAH","JALAN JURONG KECHIL","Retail (Strata)","21","Freehold","515000","97","01 to 05","5316","Sep-2021"
"9","SUITES AT BUKIT TIMAH","JALAN JURONG KECHIL","Retail (Strata)","21","Freehold","515000","97","01 to 05","5316","Sep-2021"
"10","SUITES AT BUKIT TIMAH","JALAN JURONG KECHIL","Retail (Strata)","21","Freehold","288000","86","01 to 05","3344","Sep-2021"
"11","BEAUTY WORLD CENTRE","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","99 yrs lease commencing from 1979","1500000","678","01 to 05","2212","Sep-2021"
"12","SOUTHAVEN II","HINDHEDE WALK","Retail (Strata)","21","999 yrs lease commencing from 1877","490000","323","01 to 05","1517","Aug-2021"
"13","BUKIT TIMAH PLAZA","JALAN ANAK BUKIT","Retail (Strata)","21","99 yrs lease commencing from 1976","6000000","2239","01 to 05","2680","Aug-2021"
"14","SUITES AT BUKIT TIMAH","JALAN JURONG KECHIL","Retail (Strata)","21","Freehold","390000","118","01 to 05","3294","Aug-2021"
"15","BUKIT TIMAH SHOPPING CENTRE","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","999 yrs lease commencing from 1883","590000","226","01 to 05","2610","Jul-2021"
"16","BEAUTY WORLD PLAZA","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","999 yrs lease commencing from 1884","980000","258","01 to 05","3794","Jun-2021"
"17","BUKIT TIMAH PLAZA","JALAN ANAK BUKIT","Retail (Strata)","21","99 yrs lease commencing from 1976","1010000","420","B1 to B5","2406","Jun-2021"
"18","BUKIT TIMAH SHOPPING CENTRE","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","999 yrs lease commencing from 1883","408000","183","01 to 05","2230","Jun-2021"
"19","SUN COURT","LORONG KILAT","Retail (Strata)","21","Freehold","2050000","1485","01 to 05","1380","Jun-2021"
"20","BUKIT TIMAH PLAZA","JALAN ANAK BUKIT","Retail (Strata)","21","99 yrs lease commencing from 1976","528000","215","B1 to B5","2453","Jun-2021"
"21","BEAUTY WORLD CENTRE","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","99 yrs lease commencing from 1979","638000","215","01 to 05","2964","May-2021"
"22","BUKIT TIMAH PLAZA","JALAN ANAK BUKIT","Retail (Strata)","21","99 yrs lease commencing from 1976","750000","248","B1 to B5","3029","May-2021"
"23","BUKIT TIMAH PLAZA","JALAN ANAK BUKIT","Retail (Strata)","21","99 yrs lease commencing from 1976","428000","183","B1 to B5","2339","Apr-2021"
"24","BEAUTY WORLD CENTRE","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","99 yrs lease commencing from 1979","250000","97","01 to 05","2581","Apr-2021"
"25","BEAUTY WORLD CENTRE","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","99 yrs lease commencing from 1979","1500000","592","01 to 05","2534","Apr-2021"
"26","BEAUTY WORLD PLAZA","UPPER BUKIT TIMAH ROAD","Retail (Strata)","21","999 yrs lease commencing from 1884","869000","258","01 to 05","3364","Mar-2021"
"27","YEWTEE POINT","CHOA CHU KANG NORTH 6","Retail (Strata)","23","99 yrs lease commencing from 2006","220000000","111612","01 to 05","1971","Mar-2021"
"28","WOODGROVE CONDOMINIUM","WOODGROVE DRIVE","Retail (Strata)","25","99 yrs lease commencing from 1997","380000","280","01 to 05","1358","Mar-2021"
"29","WOODGROVE CONDOMINIUM","WOODGROVE DRIVE","Retail (Strata)","25","99 yrs lease commencing from 1997","380000","280","01 to 05","1358","Feb-2021"
"30","BUKIT TIMAH PLAZA","JALAN ANAK BUKIT","Retail (Strata)","21","99 yrs lease commencing from 1976","1160000","474","B1 to B5","2449","Jan-2021"
"31","KAP","KING ALBERT PARK","Retail (Strata)","21","Freehold","1900000","506","01 to 05","3756","Nov-2020"
