"URBAN REDEVELOPMENT AUTHORITY - PRIVATE COMMERCIAL TRANSACTIONS WITH CAVEATS LODGED"

"S/N","Project Name","Street Name","Type","Postal District","Tenure","Price ($)","Area (Sqft)","Floor Level","Unit Price ($psf)","Date of Option Exercised / Sales Agreement Signed"
"1","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","1060000","398","01 to 05","2662","Jan-2022"
"2","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","1819000","398","01 to 05","4567","Sep-2021"
"3","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","1720000","581","01 to 05","2959","Mar-2021"
"4","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","1120000","398","01 to 05","2812","Feb-2021"
"5","LILYDALE","YISHUN AVENUE 6","Retail (Strata)","27","99 yrs lease commencing from 2000","330000","151","01 to 05","2190","Jan-2021"
"6","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","870000","398","01 to 05","2184","Oct-2019"
"7","HEETON PARK","THONG SOON AVENUE","Retail (Strata)","26","Freehold","3000000","1346","-","2230","Nov-2018"
"8","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","1110000","344","01 to 05","3223","Jul-2018"
"9","GOODLINK PARK","SEMBAWANG ROAD","Retail (Strata)","27","Freehold","4200000","1981","-","2121","May-2018"
"10","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","1400000","334","01 to 05","4196","May-2018"
"11","SEMBAWANG SHOPPING CENTRE","SEMBAWANG ROAD","Retail (non-strata)","27","999 yrs lease commencing from 1885","248000000","100315","-","2472","Apr-2018"
"12","JUNCTION NINE","YISHUN AVENUE 9","Retail (Strata)","27","99 yrs lease commencing from 2013","828000","172","01 to 05","4808","Oct-2017"

12 record(s) retrieved based on user-specific search criteria

"Search By Sale Period: "MAR 2017 to FEB 2022 & Property Type (Retail) & Postal Districts: 27, 26

"Notes:"
"1","To convert Sqft to Sqm, divide by a factor 10.764."
"2","To convert $ psf to $ psm, multiply by a factor 10.764."
