"URBAN REDEVELOPMENT AUTHORITY - PRIVATE COMMERCIAL TRANSACTIONS WITH CAVEATS LODGED"

"S/N","Project Name","Street Name","Type","Postal District","Tenure","Price ($)","Area (Sqft)","Floor Level","Unit Price ($psf)","Date of Option Exercised / Sales Agreement Signed"
"1","N.A.","NEIL ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1989","8380000","1291","-","6493","Feb-2022"
"2","TANJONG PAGAR CONSERVATION AREA","TANJONG PAGAR ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1992","12200000","1576","-","7742","Jan-2022"
"3","N.A.","CIRCULAR ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1831","30668300","3611","-","8492","Jan-2022"
"4","BOAT QUAY CONSERVATION AREA","BOAT QUAY","Shop House (non-strata)","01","999 yrs lease commencing from 1826","17200000","1086","-","15837","Jan-2022"
"5","TELOK AYER CONSERVATION AREA","ANN SIANG ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1827","15500000","1259","-","12308","Jan-2022"
"6","N.A.","KEONG SAIK ROAD","Shop House (non-strata)","02","Freehold","18500000","1522","-","12155","Dec-2021"
"7","KRETA AYER CONSERVATION AREA","TEMPLE STREET","Shop House (non-strata)","01","99 yrs lease commencing from 1998","13800000","1474","-","9365","Dec-2021"
"8","TIONG BAHRU ESTATE","ENG HOON STREET","Shop House (non-strata)","03","Freehold","5500000","887","-","6201","Dec-2021"
"9","TANJONG PAGAR CONSERVATION AREA","TRAS STREET","Shop House (non-strata)","02","99 yrs lease commencing from 1995","11100000","1298","-","8551","Dec-2021"
"10","BLAIR PLAIN CONSERVATION AREA","KAMPONG BAHRU ROAD","Shop House (non-strata)","03","Freehold","4900000","970","-","5052","Dec-2021"
"11","TELOK AYER CONSERVATION AREA","CLUB STREET","Shop House (non-strata)","01","999 yrs lease commencing from 1827","26038000","2250","-","11574","Nov-2021"
"12","PORCELAIN HOTEL","MOSQUE STREET","Shop House (non-strata)","01","99 yrs lease commencing from 2002","36471774","4111","-","8872","Nov-2021"
"13","PORCELAIN HOTEL","MOSQUE STREET","Shop House (non-strata)","01","99 yrs lease commencing from 2002","53528225","6033","-","8872","Nov-2021"
"14","BOAT QUAY CONSERVATION AREA","CIRCULAR ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1826","16180000","1253","-","12914","Nov-2021"
"15","TANJONG PAGAR CONSERVATION AREA","NEIL ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1989","7300000","1482","-","4925","Nov-2021"
"16","BLAIR PLAIN CONSERVATION AREA","BLAIR ROAD","Shop House (non-strata)","02","Freehold","4800000","1411","-","3401","Nov-2021"
"17","TANJONG PAGAR CONSERVATION AREA","TANJONG PAGAR ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1989","4880000","839","-","5820","Oct-2021"
"18","BUKIT PASOH CONSERVATION AREA","TEO HONG ROAD","Shop House (non-strata)","02","Freehold","15200000","1672","-","9093","Oct-2021"
"19","BUKIT PASOH CONSERVATION AREA","KEONG SAIK ROAD","Shop House (non-strata)","02","Freehold","25009999","2762","-","9055","Oct-2021"
"20","BOAT QUAY CONSERVATION AREA","CIRCULAR ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1826","13000000","1079","-","12053","Oct-2021"
"21","TANJONG PAGAR CONSERVATION AREA","TANJONG PAGAR ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1992","11300000","1291","-","8756","Oct-2021"
"22","BOAT QUAY CONSERVATION AREA","CIRCULAR ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1826","10700000","950","-","11258","Oct-2021"
"23","BOAT QUAY CONSERVATION AREA","CIRCULAR ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1826","9500000","1034","-","9184","Oct-2021"
"24","KRETA AYER CONSERVATION AREA","PAGODA STREET","Shop House (non-strata)","01","Freehold","13300000","1234","-","10782","Oct-2021"
"25","TANJONG PAGAR CONSERVATION AREA","DUXTON HILL","Shop House (non-strata)","02","99 yrs lease commencing from 1989","7500000","1354","-","5539","Oct-2021"
"26","TANJONG PAGAR CONSERVATION AREA","TANJONG PAGAR ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1992","10000000","1441","-","6938","Sep-2021"
"27","TELOK AYER CONSERVATION AREA","TELOK AYER STREET","Shop House (non-strata)","01","Freehold","16800000","1452","-","11570","Sep-2021"
"28","TELOK AYER CONSERVATION AREA","TELOK AYER STREET","Shop House (non-strata)","01","999 yrs lease commencing from 1827","8550000","770","-","11109","Sep-2021"
"29","TANJONG PAGAR CONSERVATION AREA","CRAIG ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1989","8200000","1604","-","5113","Sep-2021"
"30","TELOK AYER CONSERVATION AREA","STANLEY STREET","Shop House (non-strata)","01","Freehold","15500000","1491","-","10397","Sep-2021"
"31","TANJONG PAGAR CONSERVATION AREA","TRAS STREET","Shop House (non-strata)","02","99 yrs lease commencing from 1994","11768888","1626","-","7236","Sep-2021"
"32","TANJONG PAGAR CONSERVATION AREA","DUXTON HILL","Shop House (non-strata)","02","99 yrs lease commencing from 1989","12300000","1329","-","9253","Sep-2021"
"33","N.A.","NEW BRIDGE ROAD","Shop House (non-strata)","02","Freehold","13635000","1276","-","10690","Sep-2021"
"34","KRETA AYER CONSERVATION AREA","SOUTH BRIDGE ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1877","35000000","2455","-","14255","Aug-2021"
"35","TANJONG PAGAR CONSERVATION AREA","DUXTON ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1989","7400000","1119","-","6610","Jul-2021"
"36","TANJONG PAGAR CONSERVATION AREA","DUXTON ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1989","7400000","1145","-","6461","Jul-2021"
"37","TELOK AYER CONSERVATION AREA","CLUB STREET","Shop House (non-strata)","01","999 yrs lease commencing from 1827","13150000","1220","-","10783","Jul-2021"
"38","TELOK AYER CONSERVATION AREA","CLUB STREET","Shop House (non-strata)","01","999 yrs lease commencing from 1827","12350000","1168","-","10575","Jul-2021"
"39","TELOK AYER CONSERVATION AREA","ANN SIANG ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1827","9500000","1147","-","8279","Jun-2021"
"40","N.A.","HONGKONG STREET","Shop House (non-strata)","01","99 yrs lease commencing from 1948","7200000","1661","-","4335","Jun-2021"
"41","BOAT QUAY CONSERVATION AREA","BOAT QUAY","Shop House (non-strata)","01","999 yrs lease commencing from 1826","11200000","947","-","11824","Jun-2021"
"42","N.A.","GEMMILL LANE","Shop House (non-strata)","01","99 yrs lease commencing from 1996","8000000","1361","-","5880","Jun-2021"
"43","TELOK AYER CONSERVATION AREA","STANLEY STREET","Shop House (non-strata)","01","Freehold","15000000","1310","-","11451","Jun-2021"
"44","TELOK AYER CONSERVATION AREA","ANN SIANG ROAD","Shop House (non-strata)","01","999 yrs lease commencing from 1827","9280000","1250","-","7426","Jun-2021"
"45","N.A.","HAVELOCK ROAD","Shop House (non-strata)","03","Freehold","5030000","1575","-","3194","Jun-2021"
"46","TANJONG PAGAR CONSERVATION AREA","NEIL ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 2000","6980000","1294","-","5395","May-2021"
"47","N.A.","BLAIR ROAD","Shop House (non-strata)","02","Freehold","4220000","1419","-","2975","May-2021"
"48","TANJONG PAGAR CONSERVATION AREA","DUXTON HILL","Shop House (non-strata)","02","99 yrs lease commencing from 1989","11500000","1218","-","9438","May-2021"
"49","N.A.","KEONG SAIK ROAD","Shop House (non-strata)","02","Freehold","13500000","1237","-","10915","May-2021"
"50","TANJONG PAGAR CONSERVATION AREA","NEIL ROAD","Shop House (non-strata)","02","99 yrs lease commencing from 1989","6025000","1401","-","4299","May-2021"
"51","TELOK AYER CONSERVATION AREA","CLUB STREET","Shop House (non-strata)","01","999 yrs lease commencing from 1827","8000000","791","-","10112","May-2021"
"52","KRETA AYER CONSERVATION AREA","SOUTH BRIDGE ROAD","Shop House (non-strata)","01","99 yrs lease commencing from 1991","10600000","1269","-","8353","May-2021"
"53","BLAIR PLAIN CONSERVATION AREA","KAMPONG BAHRU ROAD","Shop House (non-strata)","03","Freehold","6190000","1163","-","5325","May-2021"
"54","BLAIR PLAIN CONSERVATION AREA","KAMPONG BAHRU ROAD","Shop House (non-strata)","03","Freehold","6190000","1181","-","5242","May-2021"
