"URBAN REDEVELOPMENT AUTHORITY - PRIVATE COMMERCIAL TRANSACTIONS WITH CAVEATS LODGED"

"S/N","Project Name","Street Name","Type","Postal District","Tenure","Price ($)","Area (Sqft)","Floor Level","Unit Price ($psf)","Date of Option Exercised / Sales Agreement Signed"
"1","N.A.","UPPER SERANGOON ROAD","Shop House (non-strata)","19","Freehold","2050000","1797","-","1141","Jan-2022"
"2","CLOVER PARK","CLOVER WAY","Shop House (non-strata)","20","Freehold","4800000","1770","-","2712","Jan-2022"
"3","N.A.","BEDOK ROAD","Shop House (non-strata)","16","Freehold","4120000","1800","-","2289","Jul-2021"
"4","SERANGOON GARDEN ESTATE","SERANGOON GARDEN WAY","Shop House (non-strata)","19","999 yrs lease commencing from 1955","12113000","2782","-","4353","Jun-2021"
"5","N.A.","UPPER THOMSON ROAD","Shop House (non-strata)","20","Freehold","5880000","1742","-","3376","May-2021"
"6","THOMSON RIDGE ESTATE","THOMSON RIDGE","Shop House (non-strata)","20","Freehold","4500000","1956","-","2301","May-2021"
"7","N.A.","YIO CHU KANG ROAD","Shop House (non-strata)","19","Freehold","2250000","1600","-","1407","May-2021"
"8","N.A.","ROCHDALE ROAD","Shop House (non-strata)","19","Freehold","2300000","1830","-","1257","Apr-2021"
"9","SERANGOON GARDEN ESTATE","SERANGOON GARDEN WAY","Shop House (non-strata)","19","999 yrs lease commencing from 1957","7380000","1618","-","4562","Feb-2021"
"10","N.A.","BEDOK ROAD","Shop House (non-strata)","16","Freehold","3900000","1800","-","2167","Dec-2020"
"11","SERANGOON GARDEN ESTATE","SERANGOON GARDEN WAY","Shop House (non-strata)","19","999 yrs lease commencing from 1955","14850000","2123","-","6996","Dec-2020"
"12","N.A.","UPPER THOMSON ROAD","Shop House (non-strata)","20","Freehold","6020000","1623","-","3709","Nov-2020"
"13","N.A.","UPPER SERANGOON ROAD","Shop House (non-strata)","19","Freehold","2277000","1569","-","1451","Nov-2020"
"14","N.A.","UPPER PAYA LEBAR ROAD","Shop House (non-strata)","19","Freehold","2810000","1676","-","1677","Oct-2020"
"15","THOMSON GARDEN ESTATE","UPPER THOMSON ROAD","Shop House (non-strata)","20","Freehold","5800000","1572","-","3691","Oct-2020"
"16","SERANGOON GARDEN ESTATE","KENSINGTON PARK ROAD","Shop House (non-strata)","19","999 yrs lease commencing from 1960","6000000","1950","-","3076","Jun-2020"
"17","N.A.","TECK CHYE TERRACE","Shop House (non-strata)","19","Freehold","39000000","17648","-","2210","Jun-2020"
