"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"1","01","B1 & Below","30 & Below","72.03","Q1 2012"
"2","01","B1 & Below",">30 - 100","106.15","Q1 2012"
"3","01","B1 & Below",">100 - 300","107.60","Q1 2012"
"4","01","B1 & Below",">300","44.90","Q1 2012"
"5","01","Level 1","30 & Below","187.27","Q1 2012"
"6","01","Level 1",">30 - 100","161.35","Q1 2012"
"7","01","Level 1",">100 - 300","108.66","Q1 2012"
"8","01","Level 1",">300","NA","Q1 2012"
"9","01","Level 2 & 3","30 & Below","113.60","Q1 2012"
"10","01","Level 2 & 3",">30 - 100","87.06","Q1 2012"
"11","01","Level 2 & 3",">100 - 300","74.13","Q1 2012"
"12","01","Level 2 & 3",">300","72.95","Q1 2012"
"13","01","Level 4 & Above","30 & Below","86.65","Q1 2012"
"14","01","Level 4 & Above",">30 - 100","70.32","Q1 2012"
"15","01","Level 4 & Above",">100 - 300","NA","Q1 2012"
"16","01","Level 4 & Above",">300","NA","Q1 2012"
"17","01","B1 & Below","30 & Below","140.05","Q2 2012"
"18","01","B1 & Below",">30 - 100","123.80","Q2 2012"
"19","01","B1 & Below",">100 - 300","112.82","Q2 2012"
"20","01","B1 & Below",">300","NA","Q2 2012"
"21","01","Level 1","30 & Below","204.25","Q2 2012"
"22","01","Level 1",">30 - 100","172.40","Q2 2012"
"23","01","Level 1",">100 - 300","90.80","Q2 2012"
"24","01","Level 1",">300","76.63","Q2 2012"
"25","01","Level 2 & 3","30 & Below","102.06","Q2 2012"
"26","01","Level 2 & 3",">30 - 100","87.09","Q2 2012"
"27","01","Level 2 & 3",">100 - 300","82.89","Q2 2012"
"28","01","Level 2 & 3",">300","61.90","Q2 2012"
"29","01","Level 4 & Above","30 & Below","75.38","Q2 2012"
"30","01","Level 4 & Above",">30 - 100","58.82","Q2 2012"
"31","01","Level 4 & Above",">100 - 300","NA","Q2 2012"
"32","01","Level 4 & Above",">300","NA","Q2 2012"
"33","01","B1 & Below","30 & Below","81.36","Q3 2012"
"34","01","B1 & Below",">30 - 100","130.68","Q3 2012"
"35","01","B1 & Below",">100 - 300","148.64","Q3 2012"
"36","01","B1 & Below",">300","NA","Q3 2012"
"37","01","Level 1","30 & Below","209.86","Q3 2012"
"38","01","Level 1",">30 - 100","163.98","Q3 2012"
"39","01","Level 1",">100 - 300","97.83","Q3 2012"
"40","01","Level 1",">300","NA","Q3 2012"
"41","01","Level 2 & 3","30 & Below","97.07","Q3 2012"
"42","01","Level 2 & 3",">30 - 100","129.09","Q3 2012"
"43","01","Level 2 & 3",">100 - 300","85.90","Q3 2012"
"44","01","Level 2 & 3",">300","71.20","Q3 2012"
"45","01","Level 4 & Above","30 & Below","NA","Q3 2012"
"46","01","Level 4 & Above",">30 - 100","47.43","Q3 2012"
"47","01","Level 4 & Above",">100 - 300","NA","Q3 2012"
"48","01","Level 4 & Above",">300","NA","Q3 2012"
"49","01","B1 & Below","30 & Below","80.77","Q4 2012"
